,album_id,album_name,album_popularity,album_tracks,album_image,album_release_date,album_label,album_artist_id,album_artist_name
0,4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,94,17,https://i.scdn.co/image/ab67616d00001e029478c87599550dd73bfa7e02,2019-09-06,Republic Records,246dkjvS1zLTtiykXe5h60,Post Malone
1,5y4Ikuc4sLtNOpanoKKqwo,Shine,70,12,https://i.scdn.co/image/ab67616d00001e02b0b30ef77be3523c8018810c,2008-03-28,Woah Dad!,5T0MSzX9RC5NA6gAI6irSn,Estelle
2,1Xsprdt1q9rOzTic7b9zYM,Continuum,76,12,https://i.scdn.co/image/ab67616d00001e027af5fdc5ef048a68db62b85f,2006-09-11,Aware/Columbia,0hEurMDQu99nJRq8pTxO14,John Mayer
3,54I5tDCMjnNVWSENHg8EDH,The Blueprint,53,15,https://i.scdn.co/image/ab67616d00001e029992c5d2c010ccb3f6fa6bb6,2001-09-11,Roc-A-Fella,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z
4,3j1xCJdBMCl6wYQXurz2tb,Vol.2 ... Hard Knock Life,62,14,https://i.scdn.co/image/ab67616d00001e029700390e9c33c62cfcd915ce,1998-11-29,Roc Nation / Jay-Z,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z
5,1HiG0ukRmFPN13EVcf98Jx,Sweet Baby James (2019 Remaster),67,11,https://i.scdn.co/image/ab67616d00001e02b3adf9b1706b05af854bbad4,1970-02-01,Rhino/Warner Records,0vn7UBvSQECKJm2817Yf1P,James Taylor
6,0YF8PfcGbsKg5IaFyPnlyY,Ventura,69,11,https://i.scdn.co/image/ab67616d00001e023d5b8fe604275dfab677bd0d,2019-04-12,"Aftermath/12 Tone Music, LLC",3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak
7,2P2Xwvh2xWXIZ1OWY9S9o5,Watch The Throne (Deluxe),75,16,https://i.scdn.co/image/ab67616d00001e021bd95706ec219ee55aa30e8b,2011-08-08,Roc Nation/RocAFella/IDJ,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z
8,0jZFu2tihRJ65iYAo0oOtP,The Search for Everything,72,12,https://i.scdn.co/image/ab67616d00001e02c6bfaf942ed981d5c4c922e4,2017-04-14,Columbia,0hEurMDQu99nJRq8pTxO14,John Mayer
9,3mMWlBGocBwsS1Q0o9wvlc,Where the Light Is,87,10,https://i.scdn.co/image/ab67616d00001e023667dc27da7b24360d6050d0,2019-01-06,"Surfaces, LLC / TenThousand Projects, LLC",4ETSs924pXMzjIeD6E9b4u,Surfaces
